accuracy: 0.90625 with M=8, maxIter=20, eps=8.8
accuracy: 0.9375 with M=8, maxIter=20, eps=8.9
accuracy: 0.875 with M=8, maxIter=20, eps=9.0
accuracy: 0.90625 with M=8, maxIter=20, eps=9.1
accuracy: 0.96875 with M=8, maxIter=20, eps=9.200000000000001
accuracy: 0.9375 with M=8, maxIter=20, eps=9.3
accuracy: 0.96875 with M=8, maxIter=20, eps=9.4
accuracy: 0.96875 with M=8, maxIter=20, eps=9.5
accuracy: 0.9375 with M=8, maxIter=20, eps=9.600000000000001
accuracy: 0.84375 with M=8, maxIter=20, eps=9.700000000000001
accuracy: 0.90625 with M=8, maxIter=20, eps=9.8
accuracy: 0.84375 with M=8, maxIter=20, eps=9.9
accuracy: 0.875 with M=8, maxIter=20, eps=10.0
accuracy: 0.0 with M=8, maxIter=0, eps=0.0
accuracy: 1.0 with M=8, maxIter=10, eps=0.0
accuracy: 1.0 with M=8, maxIter=20, eps=0.0
accuracy: 1.0 with M=8, maxIter=30, eps=0.0
accuracy: 1.0 with M=8, maxIter=40, eps=0.0
accuracy: 1.0 with M=8, maxIter=50, eps=0.0
accuracy: 1.0 with M=8, maxIter=60, eps=0.0
accuracy: 0.96875 with M=8, maxIter=70, eps=0.0
accuracy: 1.0 with M=8, maxIter=80, eps=0.0
accuracy: 1.0 with M=8, maxIter=90, eps=0.0
